C:\Users\lgidu\venv\pyPoll_hw\Scripts\python.exe C:/Users/lgidu/PycharmProjects/pythonhw/pyboss2.py
<zip object at 0x000001F7DB0DE808>
['EmpID', 'FirstName', 'LastName', 'DOB', 'SSN', 'State']
['1128', 'Jessica', 'Sheppard', '5/24/1970', '***-**-4987', 'RI']
['1988', 'Sarah', 'Rodriguez', '7/18/1986', '***-**-8700', 'WY']
['573', 'Steven', 'Parker', '9/20/1981', '***-**-5891', 'NE']
['107', 'Patricia', 'Bennett', '6/8/1984', '***-**-0424', 'LA']
['2040', 'Lisa', 'Mathis', '1/27/1957', '***-**-3247', 'WI']
['1103', 'Dale', 'Garza', '9/1/1982', '***-**-4719', 'MI']
['748', 'Jeffrey', 'Guerra', '10/22/1983', '***-**-9519', 'VT']
['1516', 'Anthony', 'Martinez', '1/16/1958', '***-**-0874', 'OR']
['1143', 'Jorge', 'Howard', '4/18/1982', '***-**-0640', 'KY']
['1374', 'Jennifer', 'Austin', '4/10/1984', '***-**-4858', 'WA']
['1517', 'Calvin', 'Sosa', '2/28/1969', '***-**-8986', 'PA']
['1649', 'Isaac', 'Franco', '8/29/1989', '***-**-3428', 'ND']
['566', 'Norman', 'Harris', '2/10/1981', '***-**-7233', 'MN']
['965', 'Becky', 'Carroll', '8/16/1992', '***-**-3619', 'TX']
['277', 'Kellie', 'Montgomery', '3/11/1970', '***-**-8490', 'ME']
['696', 'Amber', 'Mullen', '5/23/1987', '***-**-5573', 'NM']
['1356', 'Andrew', 'Bennett', '10/2/1988', '***-**-5167', 'OK']
['1443', 'Jacob', 'Taylor', '10/16/1988', '***-**-1835', 'CA']
['1423', 'Gregory', 'Day', '6/7/1982', '***-**-9482', 'NV']
['160', 'Danielle', 'Smith', '1/31/1972', '***-**-3726', 'AZ']
['1540', 'Nathan', 'Sims', '6/29/1982', '***-**-4681', 'AK']
['1305', 'Lisa', 'Lawrence', '12/19/1957', '***-**-9699', 'TN']
['299', 'Kristen', 'Morales', '5/17/1963', '***-**-4085', 'SD']
['1285', 'Lee', 'Terry', '2/26/1965', '***-**-3702', 'ME']
['172', 'Vincent', 'Williams', '3/3/1974', '***-**-3233', 'OR']
['1837', 'James', 'Mcfarland', '5/29/1992', '***-**-7711', 'TX']
['231', 'Arthur', 'Lawrence', '6/11/1974', '***-**-4845', 'SC']
['743', 'Randy', 'Christian', '11/1/1962', '***-**-4642', 'MT']
['290', 'Ashley', 'Hurley', '8/20/1970', '***-**-6712', 'SD']
['1691', 'Sarah', 'Stewart', '2/2/1969', '***-**-1055', 'IN']
['1744', 'Justin', 'Williams', '6/9/1976', '***-**-4152', 'WA']
['615', 'Frederick', 'Sanchez', '7/21/1978', '***-**-8901', 'OR']
['1427', 'Sarah', 'Baldwin', '1/10/1964', '***-**-3313', 'SC']
['252', 'John', 'Larson', '3/13/1989', '***-**-9091', 'CT']
['1418', 'Christina', 'Nielsen', '4/18/1957', '***-**-4490', 'SD']
['732', 'Jesse', 'Jones', '2/14/1959', '***-**-5626', 'VT']
['1198', 'Dorothy', 'Beltran', '11/16/1986', '***-**-2110', 'LA']
['2116', 'Tammy', 'Brock', '4/24/1992', '***-**-3729', 'MN']
['946', 'Melissa', 'Mitchell', '3/25/1975', '***-**-6449', 'KS']
['921', 'James', 'Ramirez', '6/9/1983', '***-**-6140', 'FL']
['1706', 'Benjamin', 'Long', '12/25/1971', '***-**-4171', 'ND']
['2039', 'William', 'Shields', '6/19/1970', '***-**-4599', 'TN']
['1378', 'Crystal', 'Brooks', '11/27/1962', '***-**-4904', 'NY']
['772', 'Richard', 'Gilbert', '10/11/1962', '***-**-7467', 'MO']
['1558', 'Beth', 'Davis', '11/17/1990', '***-**-2566', 'DE']
['14', 'Tyler', 'Brown', '7/13/1964', '***-**-0128', 'ME']
['513', 'Melissa', 'Duncan', '3/20/1985', '***-**-5735', 'NH']
['1002', 'Alexandra', 'Berry', '4/10/1973', '***-**-4917', 'CA']
['863', 'Ashley', 'Morgan', '1/29/1957', '***-**-5705', 'ME']
['1026', 'Matthew', 'Beasley', '5/30/1969', '***-**-7294', 'DE']
['433', 'Angela', 'Gregory', '5/14/1980', '***-**-1822', 'AR']
['1404', 'Michelle', 'Smith', '5/30/1991', '***-**-5222', 'ID']
['657', 'Kristopher', 'Meyer', '4/6/1979', '***-**-4588', 'CO']
['1875', 'Patrick', 'Barron', '11/25/1985', '***-**-9394', 'AK']
['285', 'Mike', 'Reeves', '2/27/1963', '***-**-8915', 'GA']
['875', 'Heidi', 'Bell', '7/5/1958', '***-**-9662', 'TN']
